"Date","Tweet","ReplyTo","RT","Likes","RTs"
"2019-11-07 14:56Z","@m4yk0n @01Lais Para de dar spoiler. Agora eu já sei que é maravilhoso, incrível e de uma inteligência.... 😅 ","@m4yk0n",NA,0,0
"2019-11-07 14:54Z","🦋🐦🌵🌳Acontece entre os dias 11 e 14 de novembro o III Simpósio do Programa de Pós-graduação em Biodiversidade Neotropical da UNIRIO.  https://t.co/RfeGFvYIW8 https://t.co/SDThVAODRV ","",NA,1,0
"2019-11-07 14:48Z","🔬📚Amanhã (8) às 12h tem Seminários do Instituto Biomédico. O tema será: O toque de MyD88 transformando a resposta imunitária. A palestrante convidada é a professora Maria Bellio (UFRJ). https://t.co/PQwjnw3rMm https://t.co/Q0WT66I3Tx ","",NA,1,0
"2019-11-06 21:14Z","@carlafcst Ah nao. Para. 😘 ","@carlafcst",NA,1,0
"2019-11-06 18:09Z","@ThaisKrisca Sereia Rainha ","@ThaisKrisca",NA,4,0
"2019-11-06 15:57Z","@luanagranjaa 😘 ","@luanagranjaa",NA,1,0
"2019-11-06 15:11Z","@laurabuarquec @ThaisKrisca 😘 ","@laurabuarquec",NA,2,0
"2019-11-06 15:06Z","🍞😋 Pesquisa do Programa de Pós-graduação em Alimentos e Nutrição (PPGAN) da UNIRIO pode contribuir para o tratamento da doença Celíaca. https://t.co/IAV86tQwsI https://t.co/nUi9JS3Ji4 ","",NA,11,1
"2019-11-06 15:03Z","🎹Amanhã (7) vai rolar show com o pianista norte-americano David Korevaara 🇺🇸 na Série Villa-Lobos Aplaude da UNIRIO. É às 19h30 e a entrada é franca. https://t.co/aFkLF02clH https://t.co/MxFO2O2AVE ","",NA,8,2
"2019-11-06 14:57Z","06/11 - Dia Nacional do Riso. 😂 https://t.co/pY8Qi44HNP ","",NA,5,0
"2019-11-05 15:05Z","@analuisabilega Sim. ","@analuisabilega",NA,1,0
"2019-11-05 15:00Z","A Pró-Reitoria de Assuntos Estudantis (Prae) informa que o Restaurante Universitário da UNIRIO não funcionará nos dias 7 e 8 de novembro, devido aos serviços de manutenção preventiva anual da Estação de Tratamento de Águas  Guandu, realizado pela CEDAE, no dia 7. https://t.co/QuyYL1Llgo ","",NA,13,6
"2019-11-05 12:41Z","▶️Quer saber tudo que rola na UNIRIO? Se inscreve no canal do youtube do Núcleo de Imagem e Som (NIS) e aperta o play. 😎🎥   https://t.co/ZavPC09h7T https://t.co/3T54LAy39U ","",NA,2,0
"2019-11-05 12:32Z","A IV Jornada Científica Cedoc- Arremos, realizada na UNIRIO, teve como temas centrais a pesquisa cultural e documental,  a religião e movimentos sociais. Veja como foi: https://t.co/fck2sQfRcC (1) https://t.co/wJCUxJb50D (2) https://t.co/Tw7UIi3naU (3) https://t.co/6b9mzbZ91D ","",NA,0,0
"2019-11-05 12:24Z","@oficialds 😍 ","@oficialds",NA,1,0
"2019-11-05 12:16Z","@emocomrade Pelo que chegou a nós, é só chegar! ","@emocomrade",NA,7,0
"2019-11-05 12:09Z","🎬🎥 Dia 18 de novembro o Projeto de Extensão Cineclube Educação é Política convida você para a exibição e discussão do filme ""Bacurau"". 

É às 13h30 no Auditório Paulo Freire. No final serão emitidos certificados de horas de atividades complementares.  😉 https://t.co/wy2tLYRQHK ","",NA,436,112
"2019-11-05 11:54Z","🎵 No dia 26 de novembro às 19 horas a série UNIRIO Musical apresenta o UNIBONES - Coral de Trombones. É na Sala Villa-Lobos, entrada franca. https://t.co/YbEo6S9kuh ","",NA,11,2
"2019-11-04 13:36Z","🎵 Amanhã (5) às 19h30 o Duo Barrenechea, formado pelo casal Sérgio e Lúcia, apresenta o Concerto de Comemoração de 30 anos na Série UNIRIO Musical.  https://t.co/sbn9VfoI82 https://t.co/WGWQ6Uz7i5 ","",NA,0,0
"2019-11-04 13:20Z","Acontece hoje (4) a segunda edição da oficina referente à Consulta Pública de Rotulagem de Alimentos Embalados. O evento é promovido pelo Núcleo de Segurança Alimentar e Nutricional (Nusan).  É das 18h às 21h, no auditório da Escola de Nutrição. https://t.co/DpIdH0UEvV https://t.co/BV4MWRNR7v ","",NA,2,0
"2019-11-04 12:08Z","😋🍴 Oh só como que tá gostoso! Hoje tem estrogonofe de frango e batata rústica. Terça, macarrão com carne moída. Quarta filé de frango ao molho de ervas. Quinta,  carré e farofaaaaaa de banana. E pra sextar legal, picadinho de carne ao molho madeira. 🤰💥 https://t.co/TrUPSvApFi https://t.co/UciWrSGhQZ ","",NA,43,5
"2019-11-03 19:24Z","✍ Tema da redação do Enem: ""Democratização do acesso ao cinema no Brasil."" ","",NA,22,0
"2019-11-03 19:20Z","😺 https://t.co/Hdu2WgBmmQ ","",NA,14,1
"2019-10-31 23:47Z","@couldharryfly 💘 ","@sleepinthdirt",NA,0,0
"2019-10-31 23:26Z","@couldharryfly Cuidado c a glicose. ","@sleepinthdirt",NA,0,0
"2019-10-31 22:58Z","@couldharryfly Eu disse que nao. É mta teoria da conspiracao achar q qd se diz nao eh sim. Eh nao, real oficial. ","@sleepinthdirt",NA,0,0
"2019-10-31 22:55Z","@couldharryfly Spotted? Claro q nao. Nao mexo com essas coisas. ","@sleepinthdirt",NA,0,0
"2019-10-31 22:53Z","@couldharryfly Isso é impossível. Sou uma inteligência artificial. Só reagi porque achei muito legal! 🤖👍 ","@sleepinthdirt",NA,1,0
"2019-10-31 13:15Z","🤜🏼🤛🏼Em reunião com a Capes, a equipe da Pró-Reitoria de Pós-Graduação, Pesquisa e Inovação (Propgpi) recebeu o compromisso de que a UNIRIO não sofrerá corte de bolsas de alunos de mestrado e doutorado que estejam em processo de formação. https://t.co/MKVxCHjsvK 😌👍🏼 https://t.co/c6vXOUzQTs ","",NA,26,3
"2019-10-31 12:55Z","Vai até amanhã (1)  o Colóquio Internacional Construindo a base de dados Eurykleia: Antiguidade e História Digital, que aborda pesquisas sobre mulheres da Antiguidade. 👧🏻👩🏾👩🏻👧🏾👩🏻‍🦱👩🏻‍🦰👱🏻‍♀️  https://t.co/Dej8DT1mMC https://t.co/oxppJjluDG ","",NA,3,0
